promo_id,promo_name,start_date,end_date,discount_pct,promo_type,target_type,target_value
PROMO069,Spring Bonanza,2024-01-22,2024-01-30,48.2,Clearance,All,All
PROMO070,Mid-Season Discount Days,2024-09-26,2024-10-06,47.0,Clearance,Category,Dairy & Bakery
PROMO071,Weekend Bonanza,2025-02-12,2025-03-09,28.7,BOGO,SKU,SKU01797
PROMO072,Summer Offer,2023-03-20,2023-04-12,9.7,BOGO,Category,Stationery & Office
PROMO073,Weekend Blowout,2022-01-30,2022-02-24,11.6,Bundle Offer,SKU,SKU02302
PROMO074,Clearance Blowout,2022-07-17,2022-07-30,19.1,Bundle Offer,SKU,SKU02950
PROMO075,Year-End Deal Days,2024-03-06,2024-04-02,43.8,BOGO,All,All
PROMO076,Flash Deal Days,2022-02-28,2022-03-27,41.0,Clearance,Category,Grocery
PROMO077,Weekend Offer,2023-10-19,2023-10-24,48.9,Clearance,Category,Stationery & Office
PROMO078,Clearance Savings Event,2023-03-07,2023-03-30,27.8,Percentage Discount,Category,Home & Kitchen
PROMO079,Grand Blowout,2023-03-13,2023-04-12,31.1,Clearance,Category,Apparel & Footwear
PROMO080,Flash Offer,2024-10-22,2024-11-05,19.2,Percentage Discount,Brand,CleanWave
PROMO081,Mega Bonanza,2024-06-18,2024-07-12,28.0,Clearance,Category,Frozen Foods
PROMO082,Back to School Discount Days,2023-11-03,2023-11-18,37.6,Bundle Offer,SKU,SKU04841
PROMO083,Spring Savings Event,2022-01-23,2022-02-18,6.8,BOGO,SKU,SKU01969
PROMO084,Year-End Deal Days,2025-11-13,2025-11-21,44.9,Bundle Offer,Category,Apparel & Footwear
PROMO085,Spring Bonanza,2025-10-19,2025-11-12,32.6,Flat Discount,SKU,SKU04487
PROMO086,Back to School Fest,2022-11-23,2022-12-10,19.1,BOGO,Category,Health & Wellness
PROMO087,Payday Offer,2024-07-29,2024-08-27,19.5,Flat Discount,Brand,UrbanBite
PROMO088,Back to School Bonanza,2025-07-29,2025-08-27,49.6,Clearance,Brand,CleanWave
PROMO089,Clearance Bonanza,2024-05-06,2024-05-30,18.4,Clearance,Category,Home & Kitchen
PROMO090,Mid-Season Discount Days,2025-03-24,2025-04-14,30.2,Bundle Offer,Category,Beverages
PROMO091,Clearance Savings Event,2022-12-14,2022-12-27,21.2,Flat Discount,Category,Snacks & Confectionery
PROMO092,Payday Discount Days,2025-01-14,2025-01-31,29.9,Percentage Discount,Brand,ValueChoice
PROMO093,Winter Blowout,2023-08-05,2023-08-27,24.1,Percentage Discount,Category,Stationery & Office
PROMO094,Mega Fest,2024-09-23,2024-10-08,27.0,Percentage Discount,All,All
PROMO095,Clearance Fest,2022-12-08,2023-01-05,8.6,Flat Discount,Category,Electronics & Accessories
PROMO096,Mid-Season Offer,2022-01-30,2022-02-19,7.9,Clearance,Category,Beverages
PROMO097,Flash Deal Days,2022-04-18,2022-05-05,43.4,Bundle Offer,SKU,SKU01318
PROMO098,Festive Bonanza,2025-01-06,2025-02-03,43.2,Clearance,Category,Dairy & Bakery
PROMO099,Flash Sale,2025-10-14,2025-10-22,49.0,Flat Discount,Brand,ValueChoice
PROMO100,Payday Deal Days,2022-10-25,2022-11-09,32.6,Flat Discount,SKU,SKU04353
